qij	int_qij
1	0
0.9999	0.000395897105255262
0.9998	0.00075800413778146
0.9997	0.00110643507148896
0.9996	0.00144573297292984
0.9995	0.00177811879303139
0.9994	0.00210485188007531
0.9993	0.00242691931682992
0.9992	0.00274495499482227
0.9991	0.00305937493904138
0.999	0.00337048458378137
0.9989	0.00367876511189169
0.9988	0.003984338501438
0.9987	0.00428749247065456
0.9986	0.0045883290201634
0.9985	0.00488713984789206
0.9984	0.00518379652434399
0.9983	0.00547876979080253
0.9982	0.00577182519737583
0.9981	0.00606316737476989
0.998	0.00635293090776557
0.9979	0.00664129828361545
0.9978	0.00692806886499735
0.9977	0.00721357667842333
0.9976	0.0074977027945861
0.9975	0.00778042679663344
0.9974	0.0080620537399929
0.9973	0.00834231778714051
0.9972	0.00862171727156802
0.9971	0.00889989252551498
0.997	0.00917675634906437
0.9969	0.00945278787438447
0.9968	0.00972776763061547
0.9967	0.0100017697908673
0.9966	0.0102749159237116
0.9965	0.0105470894173375
0.9964	0.0108184873978484
0.9963	0.0110887579206443
0.9962	0.0113581550221295
0.9961	0.0116269801093939
0.996	0.011894947879591
0.9959	0.0121617706378536
0.9958	0.012428146035367
0.9957	0.0126938373375197
0.9956	0.0129586058906681
0.9955	0.013222558586445
0.9954	0.0134858247637288
0.9953	0.0137485560998133
0.9952	0.0140105616717697
0.9951	0.0142720199901624
0.995	0.0145327552803146
0.9949	0.0147925907352002
0.9948	0.0150521245589029
0.9947	0.0153108189221159
0.9946	0.0155689109839318
0.9945	0.0158266598124913
0.9944	0.0160835251460662
0.9943	0.0163397758860723
0.9942	0.0165957026391231
0.9941	0.0168511903727092
0.994	0.0171056907806482
0.9939	0.0173599475036882
0.9938	0.0176134167315548
0.9937	0.0178668793152093
0.9936	0.0181193415317235
0.9935	0.0183716049738043
0.9934	0.0186231186416045
0.9933	0.0188742505001179
0.9932	0.0191249137957941
0.9931	0.0193750214333426
0.993	0.0196244860235987
0.9929	0.0198737112112139
0.9928	0.020122624699547
0.9927	0.0203706522462316
0.9926	0.0206187190984871
0.9925	0.0208662556668034
0.9924	0.0211131886232594
0.9923	0.0213594444667706
