model,nombre,min,max,moy,ecart-type
1,20,103551.398872,103769.813228,103711.652371,65.405249
2,20,226.030923,228.038856,227.268488,0.495749
3,20,130138.849432,130293.861529,130221.199608,36.765779
4,20,128835.124926,128973.679378,128925.114768,36.680391
5,20,26.687263,26.760213,26.729970,0.017884
6,20,22.897719,23.198738,22.983206,0.078607
7,20,26.687263,26.760213,26.729970,0.017884
8,20,22.919824,23.209313,22.993171,0.083564
9,20,155711.434256,155783.785472,155745.428677,23.298050
