0,p4_k225_c3_XXX00000000000000,p9_k293_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,p1_k250_c3_XXX00000000000000,p4_k225_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,p4_k225_c3_XXX00000000000000,p9_k44_c3_XXX000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,p4_k225_c3_XXX00000000000000,p8_k44_c3_XXX000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,p1_k250_c3_XXX00000000000000,p9_k293_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,p9_k293_c3_XXX00000000000000,p9_k44_c3_XXX000000000000000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
6,p1_k250_c3_XXX00000000000000,p9_k44_c3_XXX000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,p4_k225_c3_XXX00000000000000,p9_k170_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,p8_k44_c3_XXX000000000000000,p9_k293_c3_XXX00000000000000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
9,p11_k255_c3_XXX0000000000000,p4_k225_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,p4_k225_c3_XXX00000000000000,p7_k228_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,p1_k250_c3_XXX00000000000000,p8_k44_c3_XXX000000000000000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
12,p11_k103_c3_XXX0000000000000,p4_k225_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,p9_k170_c3_XXX00000000000000,p9_k293_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,p11_k255_c3_XXX0000000000000,p9_k293_c3_XXX00000000000000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
15,p4_k225_c3_XXX00000000000000,p5_k224_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,p4_k225_c3_XXX00000000000000,p8_k104_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,p4_k225_c3_XXX00000000000000,p7_k34_c3_XXX000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,p1_k250_c3_XXX00000000000000,p9_k170_c3_XXX00000000000000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,
19,p7_k228_c3_XXX00000000000000,p9_k293_c3_XXX00000000000000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
20,p9_k170_c3_XXX00000000000000,p9_k44_c3_XXX000000000000000,59,60,59,59,59,59,60,59,59,59,59,59,59,59,59,59,60,59,58,58,
21,p4_k225_c3_XXX00000000000000,p5_k23_c3_XXX000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,p1_k225_c3_XXX00000000000000,p9_k293_c3_XXX00000000000000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
23,p4_k225_c3_XXX00000000000000,p8_k250_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,p1_k250_c3_XXX00000000000000,p11_k255_c3_XXX0000000000000,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,
25,p11_k103_c3_XXX0000000000000,p9_k293_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,p11_k255_c3_XXX0000000000000,p9_k44_c3_XXX000000000000000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
27,p4_k225_c3_XXX00000000000000,p5_k250_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,p11_k198_c3_XXX0000000000000,p4_k225_c3_XXX00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
